iter	Passed	Remaining
0	156	156274
1	162	80881
2	163	54177
3	164	40910
4	165	32937
5	166	27514
6	166	23675
7	167	20771
8	168	18509
9	169	16760
10	169	15276
11	170	14054
12	171	13046
13	172	12171
14	173	11410
15	174	10755
16	175	10151
17	176	9614
18	176	9135
19	177	8703
20	178	8327
21	179	7968
22	179	7644
23	180	7347
24	181	7069
25	181	6811
26	182	6572
27	183	6358
28	183	6153
29	184	5962
30	185	5784
31	185	5615
32	186	5460
33	187	5325
34	188	5189
35	188	5058
36	189	4933
37	190	4815
38	190	4703
39	191	4596
40	192	4492
41	192	4396
42	194	4321
43	195	4237
44	195	4153
45	196	4072
46	197	3995
47	197	3921
48	198	3849
49	199	3781
50	199	3716
51	200	3652
52	201	3591
53	202	3542
54	202	3486
55	203	3431
56	204	3377
57	204	3326
58	205	3277
59	206	3230
60	207	3188
61	207	3146
62	208	3103
63	209	3060
64	209	3020
65	210	2980
66	211	2940
67	211	2903
68	212	2865
69	212	2829
70	213	2795
71	214	2762
72	215	2732
73	216	2704
74	216	2673
75	217	2643
76	218	2615
77	218	2586
78	219	2560
79	220	2532
80	220	2505
81	221	2482
82	222	2455
83	223	2435
84	224	2411
85	224	2387
86	225	2364
87	225	2341
88	226	2319
89	227	2297
90	227	2274
91	228	2253
92	228	2232
93	229	2211
94	230	2192
95	231	2175
96	231	2159
97	232	2141
98	233	2123
99	233	2105
100	234	2087
101	235	2070
102	235	2052
103	236	2041
104	237	2026
105	238	2010
106	239	1994
107	239	1979
108	240	1964
109	240	1949
110	241	1934
111	242	1920
112	242	1906
113	243	1892
114	244	1878
115	244	1865
116	245	1854
117	246	1842
118	247	1829
119	247	1817
120	248	1804
121	249	1794
122	249	1782
123	250	1770
124	251	1763
125	252	1752
126	253	1740
127	253	1729
128	254	1718
129	255	1707
130	255	1696
131	256	1686
132	257	1675
133	257	1664
134	258	1654
135	258	1644
136	259	1634
137	260	1625
138	260	1616
139	261	1607
140	262	1597
141	262	1586
142	263	1577
143	263	1568
144	264	1559
145	265	1550
146	265	1541
147	266	1533
148	267	1525
149	267	1517
150	268	1508
151	268	1500
152	269	1491
153	270	1484
154	270	1476
155	271	1468
156	272	1461
157	272	1453
158	273	1447
159	274	1440
160	274	1432
161	275	1426
162	277	1422
163	277	1416
164	278	1411
165	279	1405
166	280	1399
167	281	1392
168	281	1386
169	282	1379
170	283	1373
171	284	1367
172	284	1361
173	285	1355
174	286	1348
175	286	1342
176	287	1337
177	288	1331
178	289	1325
179	289	1319
180	290	1313
181	291	1308
182	291	1302
183	292	1297
184	293	1292
185	294	1287
186	294	1281
187	295	1276
188	296	1270
189	296	1264
190	297	1259
191	297	1253
192	298	1248
193	299	1242
194	299	1237
195	300	1233
196	301	1227
197	301	1222
198	302	1217
199	303	1212
200	303	1206
201	304	1201
202	304	1196
203	305	1191
204	306	1187
205	307	1183
206	307	1178
207	308	1173
208	308	1168
209	309	1164
210	310	1159
211	310	1154
212	311	1149
213	311	1145
214	312	1140
215	312	1135
216	313	1131
217	314	1126
218	314	1122
219	315	1118
220	316	1114
221	316	1109
222	317	1105
223	317	1100
224	318	1096
225	319	1092
226	319	1088
227	320	1084
228	321	1080
229	321	1077
230	322	1073
231	323	1070
232	323	1066
233	324	1062
234	325	1058
235	325	1054
236	326	1050
237	326	1046
238	327	1042
239	328	1038
240	328	1035
241	329	1031
242	329	1027
243	330	1023
244	331	1020
245	331	1016
246	332	1012
247	332	1008
248	333	1005
249	333	1001
250	334	998
251	335	994
252	335	991
253	336	988
254	337	984
255	337	981
256	338	978
257	339	975
258	339	971
259	340	968
260	340	965
261	341	961
262	341	958
263	342	955
264	343	952
265	343	948
266	344	945
267	345	942
268	345	939
269	346	936
270	346	933
271	347	930
272	348	926
273	348	923
274	349	920
275	349	917
276	350	914
277	350	911
278	351	908
279	352	906
280	353	904
281	353	900
282	354	897
283	355	895
284	355	892
285	356	889
286	356	886
287	357	883
288	358	880
289	358	878
290	359	875
291	359	872
292	360	869
293	361	866
294	361	864
295	362	861
296	362	858
297	363	856
298	364	853
299	364	850
300	365	847
301	365	845
302	366	842
303	367	840
304	367	838
305	368	835
